sample-id	run-accession	fastq_ftp	fastq_md5
K.BeL.1.1	SRR16146708	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/008/SRR16146708/SRR16146708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/008/SRR16146708/SRR16146708_2.fastq.gz	44f3ff0e4dddd3d44ba1a22ca289ecec;273f335235baff80841806a9273881a1
K.BeL.1.2	SRR16146707	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/007/SRR16146707/SRR16146707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/007/SRR16146707/SRR16146707_2.fastq.gz	e7f7c71ebfbc6d7bb94b97988df07daa;d4bf5912a730649dc221383a9f8a0ec0
K.CSL.1.1	SRR16146696	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/096/SRR16146696/SRR16146696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/096/SRR16146696/SRR16146696_2.fastq.gz	eb4ad2a637828589862870b9a72d6023;23874bb7d260000357f14f85a33516cf
K.CSL.1.2	SRR16146685	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/085/SRR16146685/SRR16146685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/085/SRR16146685/SRR16146685_2.fastq.gz	2ba7599c66abced058c4b05cfb98ab36;b334942aba2a944d14774e34cdd9e94a
K.CT9.1.1	SRR16146674	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/074/SRR16146674/SRR16146674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/074/SRR16146674/SRR16146674_2.fastq.gz	80d21b0e9247829f3b1126a535e03427;e6cb77b29c593b086e4df40257a24686
K.CtE.1.2	SRR16146663	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/063/SRR16146663/SRR16146663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/063/SRR16146663/SRR16146663_2.fastq.gz	d8972296327044cf2232728f9e7baed0;7f25a9b13cbf075ebdc39b5056426dad
K.Ira.13.2	SRR16146659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/059/SRR16146659/SRR16146659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/059/SRR16146659/SRR16146659_2.fastq.gz	5009cbd2ace384f8b8f8a442d693c553;e31ddfea3085b9b2b5b1301d71914b6d
K.KKF.1.1	SRR16146658	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/058/SRR16146658/SRR16146658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/058/SRR16146658/SRR16146658_2.fastq.gz	f98432aac68e846f2af5a0c887608a2d;2fc993e41fb862f683fb9a6a99aef308
K.KKF.1.2	SRR16146657	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/057/SRR16146657/SRR16146657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/057/SRR16146657/SRR16146657_2.fastq.gz	e1e62f3a157d26c5bc10b3958b132350;db4ad007d09f5a1326c22a6d39a2f157
K.KKF.2.1	SRR16146656	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/056/SRR16146656/SRR16146656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/056/SRR16146656/SRR16146656_2.fastq.gz	e0514dca1a6c7c2aefe83804aaa26628;9976acd578c7e2aba22726bae4f355a1
K.KKF.2.2	SRR16146706	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/006/SRR16146706/SRR16146706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/006/SRR16146706/SRR16146706_2.fastq.gz	976bbf32e46c11baa78e206838813441;0c013dd0a9e561ebaec1bc3f85db7f54
K.Leg.1.1	SRR16146705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/005/SRR16146705/SRR16146705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/005/SRR16146705/SRR16146705_2.fastq.gz	a4370253898119447643b4642bb09b2e;5b0ac2ddc46610079dee655d69d9b1c7
